@relation EpidemicML
@attribute prophet_probability numeric
@attribute buffer_occupency numeric
@attribute successful_deliveries numeric
@attribute success_ratio numeric
@attribute from_speed numeric
@attribute to_speed numeric
@attribute distance_to_end numeric
@attribute distance_from_source numeric
@attribute message_live_time numeric
@attribute from_energy numeric
@attribute to_energy numeric
@attribute current_hop_count numeric
@attribute is_succesfully_delivered {0,1}
@data

0.0,4381166.0,0,0.0,10.552676554679602,1.4880381475330942,1283.5951446503318,0.0,6.000000000000128,179880.00000000163,179888.00000000163,1,0
0.0,4381166.0,0,0.0,10.552676554679602,3.610060775508217,1321.8666666421077,0.0,11.000000000000199,179852.00000000192,179860.40000000192,1,1
0.0,4.9031878E7,0,0.0,8.025435385395475,7.2175279443474825,1151.6925855364657,0.0,1.4000000000005173,179778.40000000322,179774.80000000322,1,0
0.0,4.9381166E7,0,0.0,10.552676554679602,9.717686779808211,1661.8423829828162,0.0,49.800000000000196,179680.80000000418,179691.70000000417,1,1
0.0,3413044.0,0,0.0,8.025435385395475,3.610060775508217,1269.1623496927375,0.0,30.39999999999948,179645.4000000049,179641.4000000049,1,0
0.0,4476743.0,0,0.0,7.49636246719026,0.7968301941274706,1007.3521761967189,0.0,18.299999999999145,179634.80000000526,179627.20000000525,1,1
0.0,4.9381166E7,0,0.0,3.610060775508217,9.717686779808211,1596.9979227150052,393.843924062839,69.1999999999991,179605.7000000053,179605.6000000053,2,1
0.0,4476743.0,0,0.0,7.49636246719026,0.8629822353086423,1091.5783102049143,0.0,45.4999999999976,179512.00000000684,179526.00000000684,1,0
0.0,4476743.0,0,0.0,7.49636246719026,1.056760793579739,1094.3692637220852,0.0,49.39999999999738,179482.40000000707,179514.40000000707,1,0
0.0,4476743.0,0,0.0,7.49636246719026,1.1625960833393831,1108.9268311076535,0.0,50.19999999999733,179471.7000000071,179507.6000000071,1,0
0.0,4381166.0,0,0.0,10.552676554679602,1.0193948213002595,2250.216420271172,0.0,100.99999999999729,179472.00000000716,179504.40000000715,1,0
0.0,4476743.0,0,0.0,7.49636246719026,0.826165233459003,1130.0088623777206,0.0,53.099999999997166,179450.10000000728,179488.00000000728,1,0
0.0,4476743.0,0,0.0,1.1625960833393831,1.056760793579739,1093.084550515655,42.87731392507454,57.19999999999695,179464.70000000752,179479.70000000752,2,0
0.0,4381166.0,0,0.0,10.552676554679602,0.82395421797536,2371.597750176216,0.0,115.99999999999645,179404.00000000803,179444.40000000803,1,0
0.0,4031878.0,0,0.0,8.025435385395475,0.5361592445743314,1453.8294114730184,0.0,102.2999999999954,179345.30000000907,179374.80000000907,1,0
